ID,lat,long,n
395,35.17636,-119.5226,2
414,35.17636,-119.52256,2
597,35.33965,-119.63084,2
619,35.33965,-119.63084,2
77240,33.814,-111.896,4
77241,33.814,-111.896,4
77253,33.814,-111.896,4
77316,33.814,-111.896,4
77713,32.1,-109.917,2
77719,32.1,-109.917,2
78077,31.772,-110.057,3
78106,31.772,-110.057,3
78110,31.772,-110.057,3
89752,34.358,-106.885,1
270443,33.255,-107.473,1
284485,33.423,-108.098,1
303043,32.84,-107.637,7
304176,32.84,-107.637,7
304189,32.841,-107.637,7
305238,32.84,-107.637,7
305243,32.84,-107.637,7
305246,32.841,-107.634,7
305240,32.84,-107.635,7
305241,32.792,-107.54,1
