state,county,host_family,host_genus,ref
California,Kern,Heteromyidae,Dipodomys,Salazar-Hamm
California,Kern,Heteromyidae,Dipodomys,Salazar-Hamm
California,Kern,Cricetidae,Onychomys,Salazar-Hamm
California,Kern,Cricetidae,Peromyscus,Salazar-Hamm
Arizona,Maricopa,Sciuridae,Ammospermophilus ,Salazar-Hamm
Arizona,Maricopa,Sciuridae,Ammospermophilus ,Salazar-Hamm
Arizona,Maricopa,Heteromyidae,Dipodomys,Salazar-Hamm
Arizona,Maricopa,Heteromyidae,Perognathus,Salazar-Hamm
Arizona,Cochise,Heteromyidae,Chaetodipus,Salazar-Hamm
Arizona,Cochise,Heteromyidae,Chaetodipus,Salazar-Hamm
Arizona,Cochise,Leporidae,Sylvilagus,Salazar-Hamm
Arizona,Cochise,Heteromyidae,Chaetodipus,Salazar-Hamm
Arizona,Cochise,Heteromyidae,Dipodomys,Salazar-Hamm
New Mexico,Socorro,Cricetidae,Neotoma,Salazar-Hamm
New Mexico,Sierra,Cricetidae,Peromyscus,Salazar-Hamm
New Mexico,Catron,Geomyidae,Thomomys,Salazar-Hamm
New Mexico,Sierra,Cricetidae,Neotoma,Salazar-Hamm
New Mexico,Sierra,Heteromyidae,Chaetodipus,Salazar-Hamm
New Mexico,Sierra,Cricetidae,Peromyscus,Salazar-Hamm
New Mexico,Sierra,Cricetidae,Neotoma,Salazar-Hamm
New Mexico,Sierra,Cricetidae,Neotoma,Salazar-Hamm
New Mexico,Sierra,Sciuridae,Otospermophilus,Salazar-Hamm
New Mexico,Sierra,Heteromyidae,Chaetodipus,Salazar-Hamm
New Mexico,Sierra,Heteromyidae,Dipodomys,Salazar-Hamm
Arizona,Pima,Heteromyidae,Chaetodipus,Fabio-Braga
Arizona,Pima,Heteromyidae,Chaetodipus,Fabio-Braga
Arizona,Pima,Leporidae,Sylvilagus,Fabio-Braga
Arizona,Pima,Cricetidae,Onychomys,Fabio-Braga
Arizona,Pima,Sciuridae,Ammospermophilus ,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
Arizona,Maricopa,Cricetidae,Peromyscus,Fabio-Braga
